MCCsCode;Description;Valid Payment Brand(s);MCCGeneralCat
742;Veterinary Services;Visa, MasterCard;MCG00001499
763;Agricultural Cooperatives;Visa, MasterCard;MCG00001499
780;Horticultural and Landscaping Services;Visa, MasterCard;MCG00001499
1520;General Contractors - Residential and Commercial;Visa, MasterCard;MCG15002999
1711;Air Conditioning, Heating and Plumbing Contractors;Visa, MasterCard;MCG15002999
1731;Electrical Contractors;Visa, MasterCard;MCG15002999
1740;Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors;Visa, MasterCard;MCG15002999
1750;Carpentry Contractors;Visa, MasterCard;MCG15002999
1761;Roofing and Siding, Sheet Metal Work Contractors;Visa, MasterCard;MCG15002999
1771;Concrete Work Contractors;Visa, MasterCard;MCG15002999
1799;Contractors, Special Trade Contractors - not elsewhere classified;Visa, MasterCard;MCG15002999
2741;Miscellaneous Publishing and Printing;Visa, MasterCard;MCG15002999
2791;Typesetting, Plate Making and Related Services;Visa, MasterCard;MCG15002999
2842;Sanitation, Polishing and Specialty Cleaning Preparations;Visa, MasterCard;MCG15002999
4011;Railroads - Freight;Visa, MasterCard;MCG40004799
4111;Transportation - Suburban and Local Commuter Passenger, including Ferries;Visa, MasterCard;MCG40004799
4112;Passenger Railways;Visa, MasterCard;MCG40004799
4119;Ambulance Services;Visa, MasterCard;MCG40004799
4121;Taxicabs and Limousines;Visa, MasterCard;MCG40004799
4131;Bus Lines;Visa, MasterCard;MCG40004799
4214;Motor Freight Carriers,Trucking - Local/Long Distance, Moving and Storage Companies, Local Delivery;Visa, MasterCard;MCG40004799
4215;Courier Services - Air and Ground, Freight Forwarders;Visa, MasterCard;MCG40004799
4225;Public Warehousing - Farm Products, Refrigerated Goods, Household Goods Storage;Visa, MasterCard;MCG40004799
4411;Cruise Lines;Visa, MasterCard;MCG40004799
4457;Boat Leases and Boat Rentals;Visa, MasterCard;MCG40004799
4468;Marinas, Marine Service/Supplies;Visa, MasterCard;MCG40004799
4511;Air Carriers, Airlines - not elsewhere classified;Visa, MasterCard;MCG40004799
4582;Airports, Airport Terminals, Flying Fields;Visa, MasterCard;MCG40004799
4722;Travel Agencies and Tour Operators;Visa, MasterCard;MCG40004799
4723;Package Tour Operators (Germany Only);Visa;MCG40004799
4761;Telemarketing of Travel Related Services and Vitamins;TSYS;MCG40004799
4784;Bridge and Road Fees, Tolls;Visa, MasterCard;MCG40004799
4789;Transportation Services Not Elsewhere Classified;Visa, MasterCard;MCG40004799
4812;Telecommunication Equipment Including TelephoneSales;Visa, MasterCard;MCG48004900
4813;Key-Entry Telecom Merchant providing singlelocal and long-distance phone calls using a central access number in a non-face-to-face environment using key entry;MasterCard;MCG48004900
4814;Telecommunication Services including but notlimited to prepaid phone services and recurring phone services;Visa, MasterCard;MCG48004900
4816;Computer Network/Information Services;Visa, MasterCard;MCG48004900
4821;Telegraph Services;Visa, MasterCard;MCG48004900
4829;Wire Transfer Money Orders (V, D, G, X)Money Transfer (M);Visa, MasterCard;MCG48004900
4899;Cable, Satellite, and Other Pay Television and Radio Services;Visa, MasterCard;MCG48004900
4900;Utilities - Electric, Gas, Heating Oil, Sanitary, Water;Visa, MasterCard;MCG48004900
5013;Motor Vehicle Supplies and New Parts;Visa, MasterCard;MCG50005599
5021;Office and Commercial Furniture;Visa, MasterCard;MCG50005599
5039;Construction Materials Not Elsewhere Classified;Visa, MasterCard;MCG50005599
5044;Office, Photographic, Photocopy and Microfilm Equipment;Visa, MasterCard;MCG50005599
5045;Computers, Computer Peripheral Equipment,Software;Visa, MasterCard;MCG50005599
5046;Commercial Equipment Not Elsewhere Classified;Visa, MasterCard;MCG50005599
